Ürün Adı,Fiyat Sayısal,Marka,Satıcı,Özellik: İşlemci,Ürün Linki,Ürün Puanı,Kargo Bilgisi,Güncel Fiyat,Değerlendirme,Fiyat (Sayısal),Ürün Başlığı,Satıcı Puanı,Özellik: Ekran,Fiyat
250 G10 i5-1334U 8GB RAM,14.649,HP,HP Türkiye,i5-1334,https://www.trendyol.com/hp/250-g10-i5-1334u-8gb-ram-256gb-ssd-15-6-fhd-w11h-uma-siyah-notebook-b2nc9es-p-828070532?boutiqueId=61&merchantId=951897,5.0,Alınamadı,14.649 TL,"5.0
(1)",14.649,HP 250 G10 i5-1334U 8GB RAM 256Gb SSD 15.6'' FHD W11H Uma Siyah Notebook B2Nc9Es,9.6,"1""",14.649 TL
Galaxy Tab A9 64 Gb,3.749,Samsung,Trendyol,mediatek,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-turkiye-garantili-p-767487787?boutiqueId=681310&merchantId=968,4.6,Alınamadı,3.749 TL,"4.6
(2196)",200.0,Samsung Galaxy Tab A9 64 Gb Graphite ( Türkiye Garantili),9.3,"103301116""",200 TL Kupon
Ideapad Slim3 Intel,8.099,LENOVO,Satıcı ID: 1103474,i5-12450,https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1103474,4.2,Alınamadı,8.099 TL,"4.2
(66)",8.099,"LENOVO Ideapad Slim3 Intel Celeron-N100 4GB RAM 128GB SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",9.5,"103301116""",8.099 TL
"11"" iPad Wi-Fi 128GB -",15.449,Apple,Trendyol,,https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-pembe-p-904312421?boutiqueId=681310&merchantId=968,3.4,Alınamadı,15.449 TL,"3.4
(10)",150.0,"Apple 11"" iPad Wi-Fi 128GB - Pembe",9.3,"103301116""",150 TL Kupon
Tab M9 MediaTek Helio,3.789,LENOVO,Teknosa,mediatek,https://www.trendyol.com/lenovo/tab-m9-mediatek-helio-g80-4gb-64gb-9-hd-tablet-kilif-ekran-koruyucu-zac30155tr-p-736120816?boutiqueId=61&merchantId=413566,4.7,Alınamadı,3.789 TL,"4.7
(2237)",3.849,"LENOVO Tab M9 MediaTek Helio G80 4GB/64GB 9"" HD Tablet + Kılıf + Ekran Koruyucu ZAC30155TR",9.4,"103301116""",3.849 TL
Pad X9 4gb 128gb Wifi,5.199,Honor,Honor Türkiye,mediatek,https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=107638,4.7,Alınamadı,5.199 TL,"4.7
(1577)",5.199,Honor Pad X9 4gb 128gb Wifi 11.5'' Uzay Gri Tablet,9.7,"103301116""",5.199 TL
Galaxy Tab A9 64 GB,3.749,Samsung,Trendyol,mediatek,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-gumus-tablet-samsung-turkiye-garantili-p-767487785?boutiqueId=681310&merchantId=968,4.6,Alınamadı,3.749 TL,"4.6
(903)",200.0,Samsung Galaxy Tab A9 64 GB Gümüş Tablet (Samsung Türkiye Garantili),9.3,"103301116""",200 TL Kupon
"11"" iPad Wi-Fi 128GB -",15.349,Apple,Trendyol,ryzen 7,https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-gumus-p-904298041?boutiqueId=681310&merchantId=968,4.5,Alınamadı,15.349 TL,"4.5
(67)",150.0,"Apple 11"" iPad Wi-Fi 128GB - Gümüş",9.3,"103301116""",150 TL Kupon
Tab M11 2.0Ghz 8Gb,7.199,LENOVO,Satıcı ID: 588741,mediatek,https://www.trendyol.com/lenovo/tab-m11-2-0ghz-8gb-128gb-11inch-fullhd-android-tablet-p-869513650?boutiqueId=61&merchantId=588741,4.5,Alınamadı,7.199 TL,"4.5
(227)",7.199,LENOVO Tab M11 2.0Ghz 8Gb 128Gb 11inch FullHd -Android Tablet,9.4,"103301116""",7.199 TL
IdeaPad 1 Ryzen,11.549,LENOVO,Satıcı ID: 1103474,ryzen 5,https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8gb-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=61&merchantId=1103474,4.4,Alınamadı,11.549 TL,"4.4
(52)",11.549,"LENOVO IdeaPad 1 Ryzen 5-5500U 8GB 512GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82R400QDTX",9.5,"103301116""",11.549 TL
Pad 9 8GB 256GB Wifi,10.699,Honor,Honor Türkiye,mediatek,https://www.trendyol.com/honor/pad-9-8gb-256gb-wifi-12-gri-tablet-bluetooth-klavye-p-806165466?boutiqueId=61&merchantId=107638,4.7,Alınamadı,10.699 TL,"4.7
(623)",10.699,"Honor Pad 9 8GB 256GB Wifi 12"" Gri Tablet + Bluetooth Klavye",9.7,"103301116""",10.699 TL
Aspire3 Intel Core,12.999,ACER,Trendyol,i5-1235,https://www.trendyol.com/acer/aspire3-intel-core-i5-1235u-8gb-512gb-ssd-15-6-full-hd-ips-windows11-gumus-laptop-nx-k6tey-002-p-867246556?boutiqueId=681310&merchantId=968,3.7,Alınamadı,12.999 TL,"3.7
(3)",12.999,"ACER Aspire3 Intel Core i5-1235U 8GB 512GB SSD 15,6"" Full HD IPS Windows11 Gümüş Laptop NX.K6TEY.002",9.3,"103301116""",12.999 TL
Galaxy Tab A9 Wi-fi,4.559,Samsung,Trendyol,mediatek,https://www.trendyol.com/samsung/galaxy-tab-a9-wi-fi-sm-x110-8-gb-128-gb-8-7-p-784566844?boutiqueId=681310&merchantId=968,4.6,Alınamadı,4.559 TL,"4.6
(669)",4.769,Samsung Galaxy Tab A9 Wi-fi Sm-x110 8 Gb 128 Gb 8.7,9.3,"103301116""",4.769 TL
Galaxy Tab A9 Plus,6.95,Samsung,Satıcı ID: 275331,mediatek,https://www.trendyol.com/samsung/galaxy-tab-a9-plus-8gb-128gb-sifir-24-ay-garantili-siyah-p-784575940?boutiqueId=61&merchantId=275331,4.5,Alınamadı,6.950 TL,"4.5
(1097)",6.95,Samsung Galaxy Tab A9 Plus 8gb 128gb Sıfır 24 Ay Garantili Siyah,9.1,"103301116""",6.950 TL
Aspire Lite Intel Core,10.499,ACER,Trendyol,i5-1334,https://www.trendyol.com/acer/aspire-lite-intel-core-i3-n300-8gb-512gb-ssd-freedos-14-wuxga-ips-dizustu-bilgisayar-nx-ks9ey-002-p-931169589?boutiqueId=681310&merchantId=968,3.8,Alınamadı,10.499 TL,"3.8
(5)",10.499,"ACER Aspire Lite Intel Core i3-N300 8GB 512GB SSD Freedos 14"" WUXGA IPS Dizüstü Bilgisayar NX.KS9EY.002",9.3,"103301116""",10.499 TL
S12 2GB/32GB 10.1”,2.599,Vorcom,Satıcı ID: 519473,mediatek,https://www.trendyol.com/vorcom/s12-2gb-32gb-10-1-1280-800-hd-ips-ekran-tablet-kilif-ekran-koruyucu-hediyeli-p-652417531?boutiqueId=61&merchantId=519473,4.3,Alınamadı,2.599 TL,"4.3
(1097)",2.599,Vorcom S12 2GB/32GB 10.1” 1280*800 HD IPS Ekran Tablet Kılıf+Ekran Koruyucu Hediyeli,9.6,"103301116""",2.599 TL
Redmi Pad Se 8/256 Gb,7.245,Xiaomi,Satıcı ID: 588741,mediatek,https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-p-770228964?boutiqueId=61&merchantId=588741,4.7,Alınamadı,7.245 TL,"4.7
(1583)",7.245,Xiaomi Redmi Pad Se 8/256 Gb Tablet Gri,9.4,"103301116""",7.245 TL
Nirvana,8.999,CASPER,Satıcı ID: 114258,i5-12450,https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=114258,4.2,Alınamadı,8.999 TL,"4.2
(689)",200.0,"CASPER Nirvana C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop",9.2,"103301116""",200 TL Kupon
"11"" iPad Air Wi-Fi",29.999,Apple,Trendyol,,https://www.trendyol.com/apple/11-ipad-air-wi-fi-256gb-mavi-p-904298057?boutiqueId=681310&merchantId=968,Alınamadı,Alınamadı,29.999 TL,Değerlendirilmemiş,965.41,"Apple 11"" iPad Air Wi-Fi 256GB - Mavi",9.3,"103301116""","965,41 TL"
LOQ AMD Ryzen 5-7235HS,25.999,LENOVO,Trendyol,ryzen 5,https://www.trendyol.com/lenovo/loq-amd-ryzen-5-7235hs-24gb-512gb-ssd-rtx3050-6gb-dos-15-6-fhd-95w-144hz-gaming-laptop-83jc00dxtr-p-892391467?boutiqueId=681310&merchantId=968,4.2,Alınamadı,25.999 TL,"4.2
(18)",27.999,"LENOVO LOQ AMD Ryzen 5-7235HS 24GB 512GB SSD RTX3050 6GB DOS 15.6"" FHD 95W 144Hz Gaming Laptop 83JC00DXTR",9.3,"103301116""",27.999 TL
Vivobook 15 Intel® Core™,16658.14,ASUS,Satıcı ID: 153128,i5-1335,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16gb-ram-512gb-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=153128,4.8,Alınamadı,"16.658,14 TL","4.8
(15)",300.0,"ASUS Vivobook 15 Intel® Core™ I5-1335u 16gb Ram 512gb Ssd W11 Pro 15,6"" Fhd",9.5,"103301116""",300 TL Kupon
Galaxy Tab S9 Fe Plus,14.75,Samsung,Satıcı ID: 584710,,https://www.trendyol.com/samsung/galaxy-tab-s9-fe-plus-sm-x610-gri-128-gb-12-4-tablet-p-767487796?boutiqueId=61&merchantId=584710,4.6,Alınamadı,14.750 TL,"4.6
(538)",75.0,"Samsung Galaxy Tab S9 Fe Plus Sm-x610 Gri 128 Gb 12.4"" Tablet",9.4,"103301116""",75 TL Kupon
"11"" iPad Wi-Fi 128GB -",15.349,Apple,Trendyol,,https://www.trendyol.com/apple/11-ipad-wi-fi-128gb-mavi-p-904298051?boutiqueId=681310&merchantId=968,4.6,Alınamadı,15.349 TL,"4.6
(42)",150.0,"Apple 11"" iPad Wi-Fi 128GB - Mavi",9.3,"1000359537""",150 TL Kupon
Galaxy Tab A9 64 GB,3.749,Samsung,Trendyol,mediatek,https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-navy-samsung-turkiye-garantili-p-767487788?boutiqueId=681310&merchantId=968,4.6,Alınamadı,3.749 TL,"4.6
(982)",200.0,Samsung Galaxy Tab A9 64 GB Navy (Samsung Türkiye Garantili),9.3,"103301116""",200 TL Kupon
